sensor,metric,unit,n,min,mean,max
hood-1,prefilter_dp_pa,Pa,106326,29.0,62.909,129.78
hood-1-derived,hood_face_velocity_fpm,fpm,106323,53.4,76.014,92.5
hood-1-derived,hood_laminar_ok,bool,106323,0.0,0.473,1.0
hood-1-derived,prefilter_days_left,days,102758,0.0,2.503,551.12
hood-1-derived,prefilter_load_pct,%,106323,7.6,53.282,100.0
pi,arm_clock_mhz,MHz,153416,1500.0,1713.336,2400.0
pi,core_volts,V,153416,0.72,0.802,0.916
pi,soc_temp_c,C,153416,41.1,60.588,71.9
pi,throttled_ever,bool,153416,0.0,0.0,0.0
pi,throttled_now,bool,153416,0.0,0.0,0.0
pi,undervoltage_ever,bool,153416,0.0,0.0,0.0
pi,undervoltage_now,bool,153416,0.0,0.0,0.0
tent-1,co2_ppm,ppm,153425,550.0,893.43,1599.9
tent-1,humidity_pct,%,153425,75.64,85.034,94.32
tent-1,light_lux,lux,153425,0.0,5970.545,12191.0
tent-1,temperature_c,C,153425,17.43,20.985,24.52
tent-1,vpd_kpa,kPa,153425,0.116,0.391,0.723
tent-1-derived,co2_trend_ppm_min,ppm/min,153398,-673.25,0.041,233.14
tent-1-derived,dew_point_c,C,153416,15.92,18.333,20.63
tent-1-derived,fruiting_score,score,153416,54.0,87.673,99.8
tent-2,co2_ppm,ppm,153425,550.0,893.07,1600.0
tent-2,humidity_pct,%,153425,75.67,85.034,94.25
tent-2,light_lux,lux,153425,0.0,5970.492,12166.0
tent-2,temperature_c,C,153425,17.45,20.985,24.5
tent-2,vpd_kpa,kPa,153425,0.119,0.391,0.729
