epoch,metric,value
1781220737.049,temperature_c,18.14
1781220737.049,humidity_pct,92.67
1781220737.049,co2_ppm,941.9
1781220737.049,vpd_kpa,0.1526
1781220737.049,temperature_c,18.08
1781220737.049,humidity_pct,91.77
1781220737.049,co2_ppm,835.9
1781220737.049,vpd_kpa,0.1708
1781220743.292,dew_point_c,16.68
1781220743.292,fruiting_score,87.6
1781220754.499,temperature_c,18.13
1781220754.499,humidity_pct,92.3
1781220754.499,co2_ppm,949.4
1781220754.499,vpd_kpa,0.1602
1781220754.499,temperature_c,17.82
1781220754.499,humidity_pct,91.5
1781220754.499,co2_ppm,850.7
1781220754.499,vpd_kpa,0.1735
1781220760.909,dew_point_c,16.93
1781220760.909,fruiting_score,86.4
1781220772.798,temperature_c,18.05
1781220772.798,humidity_pct,92.86
1781220772.798,co2_ppm,960.7
1781220772.798,vpd_kpa,0.1478
1781220772.798,temperature_c,18.27
1781220772.798,humidity_pct,91.85
1781220772.798,co2_ppm,856.6
1781220772.798,vpd_kpa,0.1711
1781220779.155,dew_point_c,16.86
1781220779.155,fruiting_score,86.4
1781220792.429,temperature_c,18.22
1781220792.429,humidity_pct,91.14
1781220792.429,co2_ppm,979.7
1781220792.429,vpd_kpa,0.1854
1781220792.429,temperature_c,18.16
1781220792.429,humidity_pct,92.0
1781220792.429,co2_ppm,866.6
1781220792.429,vpd_kpa,0.1666
1781220798.670,dew_point_c,16.88
1781220798.670,fruiting_score,85.6
1781220809.867,temperature_c,17.99
1781220809.867,humidity_pct,92.99
1781220809.867,co2_ppm,638.6
1781220809.867,vpd_kpa,0.1446
1781220809.867,temperature_c,17.94
1781220809.867,humidity_pct,92.61
1781220809.867,co2_ppm,887.7
1781220809.867,vpd_kpa,0.152
1781220816.132,dew_point_c,16.75
1781220816.132,fruiting_score,86.1
1781220827.349,temperature_c,17.88
1781220827.349,humidity_pct,91.59
1781220827.349,co2_ppm,656.0
1781220827.349,vpd_kpa,0.1724
1781220827.349,temperature_c,18.27
1781220827.349,humidity_pct,91.99
1781220827.349,co2_ppm,897.3
1781220827.349,vpd_kpa,0.1682
1781220833.591,dew_point_c,16.84
1781220833.591,fruiting_score,91.5
1781220844.808,temperature_c,17.97
1781220844.808,humidity_pct,91.18
1781220844.808,co2_ppm,662.7
1781220844.808,vpd_kpa,0.1817
1781220844.808,temperature_c,17.89
1781220844.808,humidity_pct,91.09
1781220844.808,co2_ppm,914.0
1781220844.808,vpd_kpa,0.1826
1781220851.057,dew_point_c,16.49
1781220851.057,fruiting_score,92.0
1781220862.258,temperature_c,18.21
1781220862.258,humidity_pct,91.15
1781220862.258,co2_ppm,686.5
1781220862.258,vpd_kpa,0.1851
1781220862.258,temperature_c,17.89
1781220862.258,humidity_pct,91.86
1781220862.258,co2_ppm,923.9
1781220862.258,vpd_kpa,0.1669
1781220868.502,dew_point_c,16.51
1781220868.502,fruiting_score,92.6
1781220879.699,temperature_c,17.9
1781220879.699,humidity_pct,91.6
1781220879.699,co2_ppm,700.1
1781220879.699,vpd_kpa,0.1723
1781220879.699,temperature_c,18.07
1781220879.699,humidity_pct,91.58
1781220879.699,co2_ppm,929.9
1781220879.699,vpd_kpa,0.1746
1781220885.990,dew_point_c,16.74
1781220885.990,fruiting_score,92.8
1781220897.187,temperature_c,18.12
1781220897.187,humidity_pct,91.68
1781220897.187,co2_ppm,710.4
1781220897.187,vpd_kpa,0.1731
1781220897.187,temperature_c,18.09
1781220897.187,humidity_pct,93.29
1781220897.187,co2_ppm,940.8
1781220897.187,vpd_kpa,0.1392
1781220903.576,dew_point_c,16.51
1781220903.576,fruiting_score,92.1
1781220914.817,temperature_c,18.03
1781220914.817,humidity_pct,90.94
1781220914.817,co2_ppm,729.4
1781220914.817,vpd_kpa,0.1874
1781220914.817,temperature_c,18.14
1781220914.817,humidity_pct,92.91
1781220914.817,co2_ppm,952.7
1781220914.817,vpd_kpa,0.1475
1781220921.106,dew_point_c,16.74
1781220921.106,fruiting_score,92.4
1781220932.338,temperature_c,17.93
1781220932.338,humidity_pct,92.72
1781220932.338,co2_ppm,751.6
1781220932.338,vpd_kpa,0.1495
1781220932.338,temperature_c,18.06
1781220932.338,humidity_pct,91.81
1781220932.338,co2_ppm,963.2
1781220932.338,vpd_kpa,0.1697
1781220938.631,dew_point_c,16.53
1781220938.631,fruiting_score,92.9
1781220949.862,temperature_c,18.05
1781220949.862,humidity_pct,91.74
1781220949.862,co2_ppm,757.1
1781220949.862,vpd_kpa,0.1709
1781220949.862,temperature_c,18.05
1781220949.862,humidity_pct,91.14
1781220949.862,co2_ppm,653.8
1781220949.862,vpd_kpa,0.1835
1781220956.147,dew_point_c,16.73
1781220956.147,fruiting_score,91.4
1781220967.380,temperature_c,18.09
1781220967.380,humidity_pct,91.79
1781220967.380,co2_ppm,764.0
1781220967.380,vpd_kpa,0.1703
1781220967.380,temperature_c,18.33
1781220967.380,humidity_pct,92.47
1781220967.380,co2_ppm,675.2
1781220967.380,vpd_kpa,0.1586
1781220973.696,dew_point_c,16.69
1781220973.696,fruiting_score,92.4
1781220984.937,temperature_c,18.06
1781220984.937,humidity_pct,91.61
1781220984.937,co2_ppm,786.2
1781220984.937,vpd_kpa,0.1738
1781220984.937,temperature_c,17.86
1781220984.937,humidity_pct,92.76
1781220984.937,co2_ppm,698.7
1781220984.937,vpd_kpa,0.1481
1781220992.306,dew_point_c,16.73
1781220992.306,fruiting_score,92.3
1781221003.508,temperature_c,18.03
1781221003.508,humidity_pct,92.13
1781221003.508,co2_ppm,808.9
1781221003.508,vpd_kpa,0.1627
1781221003.508,temperature_c,17.92
1781221003.508,humidity_pct,91.38
1781221003.508,co2_ppm,708.8
1781221003.508,vpd_kpa,0.177
1781221009.744,dew_point_c,16.67
1781221009.744,fruiting_score,92.5
