n,name,channel,to_name,to_email,status,sent_on,film_url
1,AgFunder,email a named partner (find and verify this week),,,draft,,https://crowe-share.yellow-block-3adc.workers.dev/v/8e8ed66d
2,Anterra Capital,email a named partner (find and verify this week),,,draft,,https://crowe-share.yellow-block-3adc.workers.dev/v/bce8cad5
3,Astanor Ventures,email a named partner (find and verify this week),,,draft,,https://crowe-share.yellow-block-3adc.workers.dev/v/54b58422
4,iSelect Fund,email a named partner (find and verify this week),,,draft,,https://crowe-share.yellow-block-3adc.workers.dev/v/175650b8
5,Ospraie Ag Science,email a named partner (find and verify this week),,,draft,,https://crowe-share.yellow-block-3adc.workers.dev/v/2f2ebcb9
6,Middleland Capital,email a named partner (find and verify this week),,,draft,,https://crowe-share.yellow-block-3adc.workers.dev/v/1872347b
7,Acre Venture Partners,email a named partner (find and verify this week),,,draft,,https://crowe-share.yellow-block-3adc.workers.dev/v/e646c88e
8,Better Food Ventures,email a named partner (find and verify this week),,,draft,,https://crowe-share.yellow-block-3adc.workers.dev/v/7a6a9de3
9,Radicle Growth,challenge entry at radicle.vc,,,draft,,https://crowe-share.yellow-block-3adc.workers.dev/v/1bd08dc7
10,SVG Ventures THRIVE,Global Impact Challenge entry at svgventures.com,,,draft,,https://crowe-share.yellow-block-3adc.workers.dev/v/b88e0ae5
11,Lemnos,email a named partner (find and verify this week),,,draft,,https://crowe-share.yellow-block-3adc.workers.dev/v/b6df4dc2
12,HAX (SOSV),apply at hax.co/apply,,,draft,,https://crowe-share.yellow-block-3adc.workers.dev/v/d6e26daa
13,Lowercarbon Capital,email a named partner (find and verify this week),,,draft,,https://crowe-share.yellow-block-3adc.workers.dev/v/bf982905
14,Techstars Future of Food Powered by Ecolab,apply at techstars.com (Future of Food page),,,draft,,https://crowe-share.yellow-block-3adc.workers.dev/v/ca83f9b1
15,Y Combinator,apply at ycombinator.com/apply,,,draft,,https://crowe-share.yellow-block-3adc.workers.dev/v/4bfde454
16,Elemental Impact,email a named partner (find and verify this week),,,draft,,https://crowe-share.yellow-block-3adc.workers.dev/v/1c8ce12d
17,Desert Angels,application form at desertangels.org,,,draft,,https://crowe-share.yellow-block-3adc.workers.dev/v/1f3197e0
18,Canyon Angels,application form at canyonangels.org,,,draft,,https://crowe-share.yellow-block-3adc.workers.dev/v/faec0e70
19,Invest Southwest (Venture Madness),application at venturemadness.com,,,draft,,https://crowe-share.yellow-block-3adc.workers.dev/v/604115ef
20,Tallwave Capital,email a named partner (find and verify this week),,,draft,,https://crowe-share.yellow-block-3adc.workers.dev/v/9162d7db
21,Arizona Tech Investors (ATI),application at arizonatechinvestors.com,,,draft,,https://crowe-share.yellow-block-3adc.workers.dev/v/25e0b6e8
22,PHX Ventures,email a named partner (find and verify this week),,,draft,,https://crowe-share.yellow-block-3adc.workers.dev/v/f744cd05
23,AZ TechCelerator,contact form at aztechcelerator.com,,,draft,,https://crowe-share.yellow-block-3adc.workers.dev/v/b507264a
24,ASU Venture Devils,program form at entrepreneurship.asu.edu,,,draft,,https://crowe-share.yellow-block-3adc.workers.dev/v/0416213e
25,USDA SBIR/STTR Phase I (NIFA),"program officer email from the NIFA SBIR page, then grants.gov",,,draft,,https://crowe-share.yellow-block-3adc.workers.dev/v/4cb42a83
26,NSF SBIR Phase I (America's Seed Fund),Project Pitch form at seedfund.nsf.gov,,,draft,,https://crowe-share.yellow-block-3adc.workers.dev/v/9ff7e4bb
27,Western SARE Farmer/Rancher Grant,Western SARE coordinator email from western.sare.org,,,draft,,https://crowe-share.yellow-block-3adc.workers.dev/v/631e80c4
28,"USDA NIFA AFRI, Agriculture Systems and Technology","a named university or extension partner, not NIFA",,,draft,,https://crowe-share.yellow-block-3adc.workers.dev/v/883061e8
29,Arizona Innovation Challenge (Arizona Commerce Authority),application at azcommerce.com,,,draft,,https://crowe-share.yellow-block-3adc.workers.dev/v/bcdb50a8
30,Arizona Specialty Crop Block Grant Program (AZDA / USDA AMS),AZDA program contact from agriculture.az.gov,,,draft,,https://crowe-share.yellow-block-3adc.workers.dev/v/9449774e
